t, pose_x, pose_y, pose_theta, headingRadians, raw_gyro, poseErrorX, poseErrorY, poseErrorTheta
5.730991, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.750298, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.770361, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.790064, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.810876, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.831142, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.850317, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.870765, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.890312, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.910544, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.930682, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.950277, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.970385, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.989766, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.010509, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.030279, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.050034, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.07021, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.090954, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.11068, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.130445, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.259908, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.260928, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.261662, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.290295, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.294212, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.294592, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.294876, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.295075, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.311381, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.330943, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.350969, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.370863, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.390858, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.410809, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.43041, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.449863, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.470129, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.491125, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.510436, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.531446, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.549805, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.570194, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.590509, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.610037, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.630077, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.650465, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.670226, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.690787, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.710319, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.731174, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.750683, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.769833, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.79044, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.810332, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.829795, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.850207, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.870467, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.891549, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.910829, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.92996, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
6.950397, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
